,Time,PRICE,SIZE,BID_PRICE1,ASK_PRICE1,BID_SIZE1,ASK_SIZE1,Type
17903,2023-03-16 10:10:59.828448,,,159.93,159.94,540,130,Glass
17904,2023-03-16 10:11:01.509768,,,159.93,159.94,540,127,Glass
438,2023-03-16 10:11:01.509768,159.94,3,,,,,Deal
439,2023-03-16 10:11:05.529262,159.93,1,,,,,Deal
17905,2023-03-16 10:11:05.529262,,,159.93,159.94,539,427,Glass
440,2023-03-16 10:11:08.741587,159.93,98,,,,,Deal
17906,2023-03-16 10:11:08.741587,,,159.93,159.94,441,430,Glass
441,2023-03-16 10:11:09.259353,159.93,2,,,,,Deal
17907,2023-03-16 10:11:09.259353,,,159.93,159.94,412,479,Glass
442,2023-03-16 10:11:10.227267,159.94,2,,,,,Deal
17908,2023-03-16 10:11:10.227267,,,159.93,159.94,412,477,Glass
17909,2023-03-16 10:11:12.305341,,,159.93,159.94,412,469,Glass
443,2023-03-16 10:11:12.305341,159.94,10,,,,,Deal
17910,2023-03-16 10:11:13.126434,,,159.93,159.94,412,479,Glass
444,2023-03-16 10:11:13.167046,159.93,1,,,,,Deal
445,2023-03-16 10:11:14.028702,159.93,50,,,,,Deal
17911,2023-03-16 10:11:14.028702,,,159.93,159.94,361,479,Glass
17912,2023-03-16 10:11:16.056174,,,159.93,159.94,311,519,Glass
17913,2023-03-16 10:11:16.629209,,,159.93,159.94,311,515,Glass
446,2023-03-16 10:11:16.629209,159.94,4,,,,,Deal
17914,2023-03-16 10:11:17.815021,,,159.93,159.94,311,517,Glass
447,2023-03-16 10:11:18.043054,159.94,10,,,,,Deal
17915,2023-03-16 10:11:20.377125,,,159.93,159.94,311,174,Glass
17916,2023-03-16 10:11:21.838262,,,159.93,159.94,311,170,Glass
448,2023-03-16 10:11:21.838262,159.94,1,,,,,Deal
449,2023-03-16 10:11:23.122955,159.94,5,,,,,Deal
17917,2023-03-16 10:11:23.122955,,,159.93,159.94,311,165,Glass
450,2023-03-16 10:11:24.488299,159.93,1,,,,,Deal
17918,2023-03-16 10:11:24.488299,,,159.93,159.94,308,165,Glass
451,2023-03-16 10:11:25.681308,159.93,1,,,,,Deal
17919,2023-03-16 10:11:25.681308,,,159.93,159.94,307,165,Glass
17920,2023-03-16 10:11:26.908865,,,159.93,159.94,207,308,Glass
452,2023-03-16 10:11:27.168801,159.93,1,,,,,Deal
453,2023-03-16 10:11:28.445783,159.93,1,,,,,Deal
17921,2023-03-16 10:11:28.445783,,,159.93,159.94,205,308,Glass
17922,2023-03-16 10:11:29.837114,,,159.93,159.94,204,308,Glass
454,2023-03-16 10:11:29.837114,159.93,1,,,,,Deal
17923,2023-03-16 10:11:30.396181,,,159.93,159.94,203,448,Glass
455,2023-03-16 10:11:30.529179,159.94,1,,,,,Deal
17924,2023-03-16 10:11:31.221454,,,159.93,159.94,202,447,Glass
456,2023-03-16 10:11:31.221454,159.93,1,,,,,Deal
17925,2023-03-16 10:11:31.943518,,,159.93,159.94,1235,417,Glass
457,2023-03-16 10:11:32.087055,159.93,65,,,,,Deal
458,2023-03-16 10:11:32.941717,159.93,1,,,,,Deal
17926,2023-03-16 10:11:32.941717,,,159.93,159.94,1169,368,Glass
17927,2023-03-16 10:11:35.169926,,,159.93,159.94,1169,228,Glass
459,2023-03-16 10:11:35.415603,159.94,20,,,,,Deal
460,2023-03-16 10:11:36.446845,159.94,5,,,,,Deal
17928,2023-03-16 10:11:36.446845,,,159.93,159.94,1169,203,Glass
17929,2023-03-16 10:11:37.074583,,,159.93,159.94,7472,100,Glass
461,2023-03-16 10:11:37.074583,159.94,3,,,,,Deal
462,2023-03-16 10:11:38.051373,159.94,83,,,,,Deal
17930,2023-03-16 10:11:38.051373,,,159.93,159.94,7592,100,Glass
463,2023-03-16 10:11:39.221921,159.94,1,,,,,Deal
17931,2023-03-16 10:11:39.221921,,,159.93,159.94,7592,82,Glass
464,2023-03-16 10:11:39.739505,159.94,35,,,,,Deal
17932,2023-03-16 10:11:39.739505,,,159.93,159.94,7592,47,Glass
17933,2023-03-16 10:11:40.244890,,,159.93,159.94,7547,48,Glass
17934,2023-03-16 10:11:40.836989,,,159.93,159.94,7534,48,Glass
465,2023-03-16 10:11:40.836989,159.93,13,,,,,Deal
17935,2023-03-16 10:11:41.434545,,,159.93,159.94,7675,48,Glass
17936,2023-03-16 10:11:42.387983,,,159.93,159.94,7675,38,Glass
466,2023-03-16 10:11:42.387983,159.94,10,,,,,Deal
17937,2023-03-16 10:11:43.624951,,,159.93,159.94,7598,38,Glass
467,2023-03-16 10:11:43.624951,159.93,77,,,,,Deal
17938,2023-03-16 10:11:46.378523,,,159.93,159.94,7533,36,Glass
468,2023-03-16 10:11:46.378523,159.93,20,,,,,Deal
17939,2023-03-16 10:11:47.604713,,,159.93,159.94,7532,36,Glass
17940,2023-03-16 10:11:48.878108,,,159.93,159.94,7531,36,Glass
469,2023-03-16 10:11:48.878108,159.93,1,,,,,Deal
17941,2023-03-16 10:11:50.354206,,,159.93,159.94,7531,35,Glass
470,2023-03-16 10:11:50.354206,159.94,1,,,,,Deal
17942,2023-03-16 10:11:56.686664,,,159.93,159.94,7451,35,Glass
471,2023-03-16 10:11:56.686664,159.93,80,,,,,Deal
17943,2023-03-16 10:11:59.383880,,,159.93,159.94,7438,30,Glass
472,2023-03-16 10:11:59.383880,159.93,10,,,,,Deal
473,2023-03-16 10:11:59.899459,159.93,4,,,,,Deal
17944,2023-03-16 10:11:59.899459,,,159.93,159.94,7534,9,Glass
17945,2023-03-16 10:12:00.917732,,,159.93,159.94,7534,7,Glass
474,2023-03-16 10:12:00.917732,159.94,2,,,,,Deal
475,2023-03-16 10:12:01.877286,159.93,5,,,,,Deal
17946,2023-03-16 10:12:01.877286,,,159.93,159.94,7529,2,Glass
17947,2023-03-16 10:12:04.761136,,,159.93,159.94,7429,142,Glass
17948,2023-03-16 10:12:06.117711,,,159.93,159.94,7429,141,Glass
476,2023-03-16 10:12:06.117711,159.94,301,,,,,Deal
17949,2023-03-16 10:12:06.645073,,,159.99,160.0,673,2838,Glass
477,2023-03-16 10:12:06.816801,159.99,1,,,,,Deal
17950,2023-03-16 10:12:07.351238,,,159.99,160.0,671,2838,Glass
478,2023-03-16 10:12:07.351238,159.99,1,,,,,Deal
17951,2023-03-16 10:12:07.874091,,,159.99,160.0,621,2340,Glass
479,2023-03-16 10:12:07.888832,160.0,5,,,,,Deal
480,2023-03-16 10:12:10.056697,160.0,1,,,,,Deal
17952,2023-03-16 10:12:10.056697,,,159.99,160.0,621,2283,Glass
17953,2023-03-16 10:12:11.795062,,,159.99,160.0,568,2342,Glass
17954,2023-03-16 10:12:12.322195,,,159.99,160.0,568,1842,Glass
481,2023-03-16 10:12:12.322195,160.0,500,,,,,Deal
17955,2023-03-16 10:12:13.307729,,,159.99,160.0,572,1837,Glass
482,2023-03-16 10:12:13.497721,160.0,200,,,,,Deal
17956,2023-03-16 10:12:13.823981,,,159.99,160.0,571,1637,Glass
483,2023-03-16 10:12:14.156801,160.0,500,,,,,Deal
484,2023-03-16 10:12:15.219393,159.99,1,,,,,Deal
17957,2023-03-16 10:12:15.219393,,,159.99,160.0,570,1137,Glass
17958,2023-03-16 10:12:15.811507,,,159.99,160.0,710,1147,Glass
485,2023-03-16 10:12:16.453786,159.99,40,,,,,Deal
17959,2023-03-16 10:12:16.453786,,,159.99,160.0,715,1147,Glass
486,2023-03-16 10:12:18.193319,160.0,173,,,,,Deal
17960,2023-03-16 10:12:18.193319,,,159.99,160.0,715,971,Glass
17961,2023-03-16 10:12:19.104340,,,159.99,160.0,615,638,Glass
487,2023-03-16 10:12:19.104340,160.0,5,,,,,Deal
488,2023-03-16 10:12:21.087116,160.0,2,,,,,Deal
17962,2023-03-16 10:12:21.087116,,,159.99,160.0,615,626,Glass
17963,2023-03-16 10:12:21.690288,,,159.99,160.0,635,626,Glass
17964,2023-03-16 10:12:22.240808,,,159.99,160.0,632,715,Glass
489,2023-03-16 10:12:22.240808,160.0,6,,,,,Deal
490,2023-03-16 10:12:24.023497,160.0,23,,,,,Deal
17965,2023-03-16 10:12:24.023497,,,159.99,160.0,632,690,Glass
491,2023-03-16 10:12:25.296515,160.0,12,,,,,Deal
17966,2023-03-16 10:12:25.296515,,,159.99,160.0,735,100,Glass
492,2023-03-16 10:12:26.018311,160.0,1,,,,,Deal
17967,2023-03-16 10:12:26.018311,,,159.99,160.0,735,171,Glass
17968,2023-03-16 10:12:26.917815,,,159.99,160.0,735,176,Glass
493,2023-03-16 10:12:26.917815,160.0,5,,,,,Deal
494,2023-03-16 10:12:28.730185,160.0,29,,,,,Deal
17969,2023-03-16 10:12:28.730185,,,159.99,160.0,735,147,Glass
495,2023-03-16 10:12:29.279066,160.0,37,,,,,Deal
17970,2023-03-16 10:12:29.279066,,,159.99,160.0,735,110,Glass
17971,2023-03-16 10:12:29.859412,,,159.99,160.0,733,197,Glass
496,2023-03-16 10:12:30.293623,160.0,87,,,,,Deal
17972,2023-03-16 10:12:30.650451,,,159.99,160.0,733,195,Glass
497,2023-03-16 10:12:30.944003,160.0,5,,,,,Deal
17973,2023-03-16 10:12:31.343675,,,159.99,160.0,733,130,Glass
498,2023-03-16 10:12:31.818101,160.0,1,,,,,Deal
17974,2023-03-16 10:12:32.005990,,,159.99,160.0,687,139,Glass
17975,2023-03-16 10:12:32.649490,,,159.99,160.0,732,133,Glass
499,2023-03-16 10:12:32.805526,160.0,2,,,,,Deal
17976,2023-03-16 10:12:33.232847,,,159.99,160.0,732,131,Glass
17977,2023-03-16 10:12:33.892485,,,159.99,160.0,687,141,Glass
17978,2023-03-16 10:12:34.547958,,,159.99,160.0,567,141,Glass
500,2023-03-16 10:12:34.547958,160.0,21,,,,,Deal
501,2023-03-16 10:12:35.183080,160.0,1,,,,,Deal
17979,2023-03-16 10:12:35.183080,,,159.99,160.0,567,191,Glass
17980,2023-03-16 10:12:37.322168,,,159.99,160.0,547,191,Glass
502,2023-03-16 10:12:37.322168,159.99,20,,,,,Deal
17981,2023-03-16 10:12:38.122520,,,159.99,160.0,547,189,Glass
503,2023-03-16 10:12:38.122520,160.0,2,,,,,Deal
17982,2023-03-16 10:12:39.572414,,,159.99,160.0,557,188,Glass
17983,2023-03-16 10:12:40.145554,,,159.99,160.0,557,186,Glass
504,2023-03-16 10:12:40.145554,160.0,2,,,,,Deal
17984,2023-03-16 10:12:41.020010,,,159.99,160.0,351,186,Glass
17985,2023-03-16 10:12:42.700233,,,159.99,160.0,231,231,Glass
505,2023-03-16 10:12:42.700233,159.99,120,,,,,Deal
17986,2023-03-16 10:12:43.684445,,,159.99,160.0,41,255,Glass
506,2023-03-16 10:12:45.726470,159.99,10,,,,,Deal
17987,2023-03-16 10:12:45.726470,,,159.99,160.0,31,265,Glass
507,2023-03-16 10:12:46.272216,159.99,1,,,,,Deal
17988,2023-03-16 10:12:46.272216,,,159.99,160.0,30,263,Glass
508,2023-03-16 10:12:47.235201,159.99,1,,,,,Deal
17989,2023-03-16 10:12:47.235201,,,159.99,160.0,28,308,Glass
509,2023-03-16 10:12:48.938971,159.99,1,,,,,Deal
17990,2023-03-16 10:12:48.938971,,,159.99,160.0,25,308,Glass
510,2023-03-16 10:12:51.717833,159.99,4,,,,,Deal
17991,2023-03-16 10:12:51.717833,,,159.99,160.0,21,318,Glass
17992,2023-03-16 10:12:52.996921,,,159.98,159.99,121,330,Glass
17993,2023-03-16 10:12:53.807823,,,159.98,159.99,121,350,Glass
511,2023-03-16 10:12:53.964322,159.99,1,,,,,Deal
512,2023-03-16 10:12:55.039646,159.99,1,,,,,Deal
17994,2023-03-16 10:12:55.039646,,,159.98,159.99,121,348,Glass
17995,2023-03-16 10:12:56.202179,,,159.98,159.99,121,30,Glass
513,2023-03-16 10:12:56.202179,159.99,13,,,,,Deal
17996,2023-03-16 10:12:56.763469,,,159.98,159.99,121,15,Glass
514,2023-03-16 10:12:56.763469,159.99,3,,,,,Deal
17997,2023-03-16 10:12:58.356554,,,159.98,159.99,121,19,Glass
515,2023-03-16 10:12:58.863958,159.99,1,,,,,Deal
17998,2023-03-16 10:12:58.863958,,,159.98,159.99,121,2218,Glass
17999,2023-03-16 10:13:00.701362,,,159.98,159.99,121,2217,Glass
516,2023-03-16 10:13:00.701362,159.99,1,,,,,Deal
18000,2023-03-16 10:13:01.293070,,,159.98,159.99,119,2217,Glass
517,2023-03-16 10:13:01.293070,159.98,1,,,,,Deal
18001,2023-03-16 10:13:02.021023,,,159.98,159.99,119,2517,Glass
518,2023-03-16 10:13:02.200956,159.98,1,,,,,Deal
18002,2023-03-16 10:13:02.592806,,,159.98,159.99,117,2517,Glass
18003,2023-03-16 10:13:04.065191,,,159.98,159.99,117,2514,Glass
519,2023-03-16 10:13:04.065191,159.99,3,,,,,Deal
18004,2023-03-16 10:13:05.452957,,,159.98,159.99,117,2496,Glass
520,2023-03-16 10:13:05.452957,159.99,1,,,,,Deal
18005,2023-03-16 10:13:06.246980,,,159.98,159.99,16,2496,Glass
521,2023-03-16 10:13:06.246980,159.98,1,,,,,Deal
18006,2023-03-16 10:13:06.858743,,,159.98,159.99,6,2497,Glass
522,2023-03-16 10:13:06.858743,159.98,10,,,,,Deal
523,2023-03-16 10:13:07.681444,159.98,5,,,,,Deal
18007,2023-03-16 10:13:07.681444,,,159.98,159.99,1,2497,Glass
18008,2023-03-16 10:13:08.691204,,,159.97,159.98,122,305,Glass
524,2023-03-16 10:13:08.691204,159.98,4,,,,,Deal
18009,2023-03-16 10:13:09.192754,,,159.97,159.98,121,303,Glass
525,2023-03-16 10:13:10.178779,159.98,80,,,,,Deal
18010,2023-03-16 10:13:10.178779,,,159.97,159.98,121,223,Glass
526,2023-03-16 10:13:11.102485,159.98,2,,,,,Deal
18011,2023-03-16 10:13:11.102485,,,159.97,159.98,123,222,Glass
18012,2023-03-16 10:13:12.690183,,,159.97,159.98,123,217,Glass
527,2023-03-16 10:13:13.009921,159.98,20,,,,,Deal
18013,2023-03-16 10:13:13.272722,,,159.97,159.98,123,187,Glass
18014,2023-03-16 10:13:13.941127,,,159.97,159.98,163,180,Glass
18015,2023-03-16 10:13:14.699867,,,159.97,159.98,163,297,Glass
528,2023-03-16 10:13:15.329315,159.97,2,,,,,Deal
18016,2023-03-16 10:13:15.329315,,,159.97,159.98,161,296,Glass
529,2023-03-16 10:13:16.825024,159.98,1,,,,,Deal
18017,2023-03-16 10:13:16.825024,,,159.97,159.98,161,295,Glass
18018,2023-03-16 10:13:18.487649,,,159.97,159.98,161,127,Glass
530,2023-03-16 10:13:19.236430,159.98,1,,,,,Deal
18019,2023-03-16 10:13:19.236430,,,159.97,159.98,161,126,Glass
18020,2023-03-16 10:13:20.706891,,,159.97,159.98,241,126,Glass
531,2023-03-16 10:13:20.706918,159.98,9,,,,,Deal
18021,2023-03-16 10:13:22.040908,,,159.97,159.99,243,1694,Glass
18022,2023-03-16 10:13:23.029118,,,159.97,159.99,243,1394,Glass
532,2023-03-16 10:13:23.138870,159.99,1,,,,,Deal
18023,2023-03-16 10:13:23.791017,,,159.97,159.98,243,16,Glass
533,2023-03-16 10:13:23.791017,159.98,1,,,,,Deal
18024,2023-03-16 10:13:25.942394,,,159.97,159.99,243,1393,Glass
534,2023-03-16 10:13:25.942394,159.98,16,,,,,Deal
18025,2023-03-16 10:13:27.585637,,,159.98,159.99,979,1393,Glass
535,2023-03-16 10:13:27.585637,159.98,6,,,,,Deal
18026,2023-03-16 10:13:28.224639,,,159.98,159.99,1008,1393,Glass
18027,2023-03-16 10:13:29.322259,,,159.98,159.99,1009,1392,Glass
536,2023-03-16 10:13:29.322259,159.99,1,,,,,Deal
18028,2023-03-16 10:13:30.006360,,,159.98,159.99,1019,1392,Glass
18029,2023-03-16 10:13:30.686357,,,159.98,159.99,1019,1391,Glass
537,2023-03-16 10:13:30.686357,159.99,1,,,,,Deal
538,2023-03-16 10:13:31.235945,159.99,2,,,,,Deal
18030,2023-03-16 10:13:31.235945,,,159.99,160.0,131,578,Glass
539,2023-03-16 10:13:31.824597,160.0,50,,,,,Deal
18031,2023-03-16 10:13:31.824597,,,159.99,160.0,131,523,Glass
18032,2023-03-16 10:13:33.464977,,,159.99,160.0,140,516,Glass
540,2023-03-16 10:13:33.464977,160.0,1,,,,,Deal
18033,2023-03-16 10:13:34.075170,,,159.99,160.0,135,586,Glass
541,2023-03-16 10:13:34.075170,159.99,5,,,,,Deal
18034,2023-03-16 10:13:34.668956,,,159.99,160.0,135,561,Glass
18035,2023-03-16 10:13:36.053010,,,159.99,160.0,135,529,Glass
542,2023-03-16 10:13:36.053010,160.0,32,,,,,Deal
543,2023-03-16 10:13:37.000570,160.0,40,,,,,Deal
18036,2023-03-16 10:13:37.000570,,,159.99,160.0,837,101,Glass
544,2023-03-16 10:13:37.550982,160.0,100,,,,,Deal
18037,2023-03-16 10:13:37.550982,,,159.99,160.0,837,81,Glass
18038,2023-03-16 10:13:40.674548,,,159.99,160.0,537,180,Glass
545,2023-03-16 10:13:41.231252,160.0,1,,,,,Deal
18039,2023-03-16 10:13:41.231252,,,159.99,160.0,349,183,Glass
18040,2023-03-16 10:13:42.480954,,,159.99,160.0,346,183,Glass
546,2023-03-16 10:13:42.596153,160.0,50,,,,,Deal
18041,2023-03-16 10:13:43.688321,,,159.99,160.0,346,128,Glass
547,2023-03-16 10:13:43.688321,160.0,5,,,,,Deal
548,2023-03-16 10:13:44.274173,160.0,28,,,,,Deal
18042,2023-03-16 10:13:44.274173,,,159.99,160.0,564,100,Glass
18043,2023-03-16 10:13:45.042390,,,159.99,160.0,754,100,Glass
549,2023-03-16 10:13:45.252495,160.0,20,,,,,Deal
18044,2023-03-16 10:13:45.700788,,,159.99,160.0,755,40,Glass
550,2023-03-16 10:13:45.957960,160.0,190,,,,,Deal
18045,2023-03-16 10:13:46.522131,,,159.99,160.0,755,33,Glass
551,2023-03-16 10:13:46.522131,160.0,5,,,,,Deal
18046,2023-03-16 10:13:48.672758,,,159.99,160.0,755,13,Glass
552,2023-03-16 10:13:48.672758,160.0,10,,,,,Deal
553,2023-03-16 10:13:49.341839,159.99,10,,,,,Deal
18047,2023-03-16 10:13:49.341839,,,159.99,160.0,745,13,Glass
18048,2023-03-16 10:13:49.863405,,,159.99,160.0,743,109,Glass
18049,2023-03-16 10:13:51.172267,,,159.99,160.0,743,118,Glass
554,2023-03-16 10:13:51.725624,159.99,57,,,,,Deal
18050,2023-03-16 10:13:51.725624,,,159.99,160.0,887,118,Glass
18051,2023-03-16 10:13:54.845874,,,159.99,160.0,677,108,Glass
555,2023-03-16 10:13:54.845874,160.0,156,,,,,Deal
556,2023-03-16 10:13:55.622126,160.0,10,,,,,Deal
18052,2023-03-16 10:13:55.622126,,,159.99,160.0,677,33,Glass
557,2023-03-16 10:13:56.326329,160.0,200,,,,,Deal
18053,2023-03-16 10:13:56.326329,,,159.99,160.01,1108,135,Glass
18054,2023-03-16 10:13:57.425337,,,159.99,160.01,1108,135,Glass
558,2023-03-16 10:13:57.425337,160.0,200,,,,,Deal
18055,2023-03-16 10:13:58.221543,,,159.99,160.0,1098,40,Glass
559,2023-03-16 10:13:58.221543,159.99,10,,,,,Deal
18056,2023-03-16 10:13:58.743274,,,159.99,160.01,947,135,Glass
560,2023-03-16 10:13:58.743274,160.0,120,,,,,Deal
561,2023-03-16 10:13:59.510580,159.99,15,,,,,Deal
18057,2023-03-16 10:13:59.510580,,,159.99,160.0,931,60,Glass
18058,2023-03-16 10:14:00.311197,,,159.99,160.0,931,20,Glass
562,2023-03-16 10:14:00.311197,160.0,40,,,,,Deal
18059,2023-03-16 10:14:01.396394,,,159.99,160.0,931,19,Glass
563,2023-03-16 10:14:01.396394,160.0,1,,,,,Deal
18060,2023-03-16 10:14:02.006529,,,159.99,160.0,835,28,Glass
564,2023-03-16 10:14:02.168329,160.0,1,,,,,Deal
18061,2023-03-16 10:14:02.538981,,,159.99,160.0,600,55,Glass
565,2023-03-16 10:14:02.930319,159.99,2,,,,,Deal
18062,2023-03-16 10:14:04.498395,,,159.99,160.0,738,45,Glass
566,2023-03-16 10:14:04.498395,160.0,10,,,,,Deal
18063,2023-03-16 10:14:05.013296,,,160.04,160.05,800,2,Glass
567,2023-03-16 10:14:05.013296,160.05,2,,,,,Deal
18064,2023-03-16 10:14:06.229406,,,160.09,160.1,493,77,Glass
568,2023-03-16 10:14:06.259732,160.09,2,,,,,Deal
18065,2023-03-16 10:14:07.132701,,,160.11,160.12,691,29,Glass
18066,2023-03-16 10:14:08.270679,,,160.11,160.12,711,29,Glass
569,2023-03-16 10:14:08.577256,160.12,3,,,,,Deal
18067,2023-03-16 10:14:09.243543,,,160.11,160.12,1511,20,Glass
570,2023-03-16 10:14:09.630887,160.11,1,,,,,Deal
571,2023-03-16 10:14:10.133818,160.12,1,,,,,Deal
18068,2023-03-16 10:14:10.133818,,,160.11,160.12,1510,19,Glass
18069,2023-03-16 10:14:10.848436,,,160.11,160.12,1510,11,Glass
572,2023-03-16 10:14:10.848436,160.12,7,,,,,Deal
18070,2023-03-16 10:14:11.371817,,,160.19,160.2,909,1584,Glass
573,2023-03-16 10:14:11.678778,160.2,4,,,,,Deal
18071,2023-03-16 10:14:12.230032,,,160.19,160.2,909,1559,Glass
574,2023-03-16 10:14:12.230818,160.19,15,,,,,Deal
18072,2023-03-16 10:14:12.834648,,,160.19,160.2,894,1548,Glass
575,2023-03-16 10:14:12.834648,160.2,10,,,,,Deal
18073,2023-03-16 10:14:13.440263,,,160.19,160.2,893,1548,Glass
576,2023-03-16 10:14:13.440263,160.19,1,,,,,Deal
18074,2023-03-16 10:14:14.122947,,,160.19,160.2,891,1548,Glass
577,2023-03-16 10:14:14.122947,160.19,1,,,,,Deal
18075,2023-03-16 10:14:15.210585,,,160.19,160.2,829,1538,Glass
578,2023-03-16 10:14:15.210585,160.19,62,,,,,Deal
18076,2023-03-16 10:14:16.342839,,,160.18,160.19,322,287,Glass
579,2023-03-16 10:14:16.830871,160.19,9,,,,,Deal
18077,2023-03-16 10:14:16.960189,,,160.18,160.19,322,380,Glass
580,2023-03-16 10:14:18.539535,160.19,10,,,,,Deal
18078,2023-03-16 10:14:18.539535,,,160.18,160.19,322,367,Glass
18079,2023-03-16 10:14:19.468137,,,160.18,160.19,322,366,Glass
18080,2023-03-16 10:14:20.038158,,,160.18,160.19,322,369,Glass
581,2023-03-16 10:14:20.165376,160.18,1,,,,,Deal
582,2023-03-16 10:14:21.592545,160.19,1,,,,,Deal
18081,2023-03-16 10:14:21.592545,,,160.18,160.19,322,367,Glass
18082,2023-03-16 10:14:22.404238,,,160.18,160.19,323,109,Glass
18083,2023-03-16 10:14:23.895132,,,160.18,160.19,322,109,Glass
583,2023-03-16 10:14:23.987543,160.18,40,,,,,Deal
18084,2023-03-16 10:14:24.691763,,,160.11,160.16,273,32,Glass
18085,2023-03-16 10:14:25.789076,,,160.11,160.16,51,32,Glass
584,2023-03-16 10:14:26.394159,160.11,1,,,,,Deal
18086,2023-03-16 10:14:26.394159,,,160.11,160.16,50,32,Glass
18087,2023-03-16 10:14:27.189694,,,160.08,160.14,143,30,Glass
18088,2023-03-16 10:14:27.730085,,,160.08,160.13,93,1,Glass
18089,2023-03-16 10:14:28.264556,,,160.08,160.11,93,50,Glass
585,2023-03-16 10:14:28.266911,160.08,93,,,,,Deal
586,2023-03-16 10:14:29.252413,160.04,1,,,,,Deal
18090,2023-03-16 10:14:29.252413,,,160.04,160.11,499,267,Glass
18091,2023-03-16 10:14:29.994403,,,160.05,160.11,1,267,Glass
587,2023-03-16 10:14:30.343157,160.05,1,,,,,Deal
18092,2023-03-16 10:14:30.613520,,,160.04,160.1,371,31,Glass
18093,2023-03-16 10:14:31.292745,,,160.04,160.1,371,253,Glass
18094,2023-03-16 10:14:32.272758,,,160.04,160.08,371,1,Glass
18095,2023-03-16 10:14:32.832636,,,160.03,160.08,220,1,Glass
18096,2023-03-16 10:14:33.628823,,,160.03,160.07,220,200,Glass
18097,2023-03-16 10:14:34.619958,,,160.05,160.07,5,200,Glass
588,2023-03-16 10:14:34.620463,160.05,5,,,,,Deal
589,2023-03-16 10:14:35.585913,160.01,15,,,,,Deal
18098,2023-03-16 10:14:35.585913,,,160.01,160.02,121,60,Glass
18099,2023-03-16 10:14:37.073389,,,160.0,160.04,29,96,Glass
590,2023-03-16 10:14:38.386330,160.04,4,,,,,Deal
18100,2023-03-16 10:14:38.386330,,,160.0,160.04,29,92,Glass
18101,2023-03-16 10:14:39.272121,,,160.0,160.02,29,10,Glass
18102,2023-03-16 10:14:40.065131,,,160.0,160.02,29,41,Glass
18103,2023-03-16 10:14:41.132916,,,160.0,160.01,28,92,Glass
591,2023-03-16 10:14:41.132916,160.0,1,,,,,Deal
18104,2023-03-16 10:14:41.902862,,,160.0,160.02,19,41,Glass
592,2023-03-16 10:14:42.291779,160.02,1,,,,,Deal
18105,2023-03-16 10:14:45.911987,,,160.0,160.02,17,40,Glass
593,2023-03-16 10:14:45.911987,160.0,2,,,,,Deal
594,2023-03-16 10:14:46.456457,160.02,1,,,,,Deal
18106,2023-03-16 10:14:46.456457,,,160.0,160.02,16,29,Glass
18107,2023-03-16 10:14:47.181638,,,160.0,160.02,116,29,Glass
18108,2023-03-16 10:14:49.967588,,,160.0,160.02,131,29,Glass
18109,2023-03-16 10:14:50.790097,,,160.0,160.01,131,21,Glass
18110,2023-03-16 10:14:51.366023,,,160.0,160.01,117,21,Glass
595,2023-03-16 10:14:51.366023,160.0,14,,,,,Deal
18111,2023-03-16 10:14:52.984829,,,160.0,160.01,39,51,Glass
596,2023-03-16 10:14:53.099954,160.01,2,,,,,Deal
18112,2023-03-16 10:14:53.896726,,,160.0,160.01,39,31,Glass
597,2023-03-16 10:14:53.896726,160.01,18,,,,,Deal
18113,2023-03-16 10:14:57.571185,,,160.02,160.03,122,10,Glass
18114,2023-03-16 10:14:59.106536,,,160.02,160.03,52,10,Glass
598,2023-03-16 10:14:59.106536,160.02,70,,,,,Deal
18115,2023-03-16 10:15:00.453054,,,160.02,160.03,52,5,Glass
599,2023-03-16 10:15:00.453054,160.03,5,,,,,Deal
600,2023-03-16 10:15:01.265820,160.02,1,,,,,Deal
18116,2023-03-16 10:15:01.265820,,,160.02,160.07,51,2,Glass
18117,2023-03-16 10:15:01.946932,,,160.02,160.07,51,94,Glass
601,2023-03-16 10:15:02.813061,160.02,49,,,,,Deal
18118,2023-03-16 10:15:02.813061,,,160.02,160.07,2,94,Glass
602,2023-03-16 10:15:05.413688,160.01,1,,,,,Deal
18119,2023-03-16 10:15:05.413688,,,160.01,160.02,640,49,Glass
18120,2023-03-16 10:15:06.402409,,,160.01,160.02,612,48,Glass
603,2023-03-16 10:15:06.402409,160.02,1,,,,,Deal
604,2023-03-16 10:15:07.842679,160.02,1,,,,,Deal
18121,2023-03-16 10:15:07.842679,,,160.01,160.02,612,47,Glass
605,2023-03-16 10:15:09.717844,160.06,1,,,,,Deal
18122,2023-03-16 10:15:09.717844,,,160.03,160.06,140,39,Glass
606,2023-03-16 10:15:10.956258,160.03,1,,,,,Deal
18123,2023-03-16 10:15:10.956258,,,160.03,160.07,139,3,Glass
607,2023-03-16 10:15:13.324812,160.06,39,,,,,Deal
18124,2023-03-16 10:15:13.324812,,,160.03,160.07,139,2,Glass
18125,2023-03-16 10:15:13.928050,,,160.07,160.1,29,47,Glass
608,2023-03-16 10:15:13.928050,160.08,1,,,,,Deal
18126,2023-03-16 10:15:14.964466,,,160.07,160.1,38,197,Glass
18127,2023-03-16 10:15:15.619986,,,160.07,160.1,38,47,Glass
18128,2023-03-16 10:15:17.099291,,,160.07,160.09,38,2,Glass
18129,2023-03-16 10:15:19.105420,,,160.07,160.09,38,120,Glass
